participant,document,eda_max,eda_min,eda_std,eda_mean,hr_max,hr_min,hr_std,hr_mean,bvp_max,bvp_min,bvp_std,bvp_mean,temp_max,temp_min,temp_std,temp_mean
P02,D13,3.531227,2.485151,0.28483092929879095,2.88335653030303,97.78,91.53,1.6500777070774406,94.14242424242425,31.6,-16.22,3.3453260102410725,0.022291666666666692,27.55,27.49,0.015537259433999999,27.51757575757584
P06,D0,0.449856,0.346043,0.03177567259055815,0.4005012112500005,136.58,61.44,24.35183124329688,114.94015000000003,21.97,-18.34,1.0082214145092063,0.0026328125000000062,24.15,22.61,0.44403704645364866,23.47874999999996
P06,D1,0.3281,0.30503,0.005189506712647242,0.3131488918918913,134.93,102.4,10.092147182291525,122.80783783783785,3.46,-3.01,0.6073984585351753,0.0016765202702702653,24.81,24.37,0.11620939465091035,24.607837837837838
P06,D2,0.314002,0.30503,0.0012591213796729953,0.3080800044642856,147.2,104.32,16.380454895209795,127.30964285714283,2.76,-2.07,0.6019371587024179,0.0026269531249999917,25.15,24.83,0.08592581361749979,24.991696428571395
P06,D3,0.292214,0.271708,0.0029743442259485796,0.28495212500000133,135.37,84.4,14.156838584963257,109.53974137931036,12.66,-8.13,0.7667656393803228,-0.0072629310344827416,26.05,25.43,0.17060163969268663,25.772887931034543
P06,D4,0.303749,0.285806,0.004687229530188572,0.294454602739726,148.55,124.45,9.363382297499454,137.8257534246576,7.93,-3.91,0.7028796880102897,0.0006399828767123284,26.29,26.09,0.04493170958033155,26.202808219177964
P06,D5,0.321692,0.302467,0.0049215590287521715,0.3104870973282439,142.88,128.88,3.7797980944439598,136.37045801526722,8.62,-6.53,0.7444003081225601,8.707061068702682e-05,26.53,26.29,0.06587437583919073,26.410381679389364
P06,D6,0.280679,0.238385,0.0056547100916784,0.272200862565446,103.1,85.37,4.615820409695386,98.51905759162305,48.05,-28.65,1.6907186314681282,-0.0013547120418848256,26.67,26.61,0.013998022663315847,26.6378010471204
P06,D7,0.344761,0.269144,0.004568411664319209,0.27614572948717747,139.83,98.68,11.127947605543005,117.89035897435895,184.11,-117.96,7.430315342708866,-0.0018357371794871802,26.71,26.61,0.021071897967994652,26.654923076922696
P06,D8,0.275553,0.267863,0.0014559894704527696,0.2708152046296262,126.53,100.57,9.318083615987906,111.89325925925918,4.55,-2.1,0.5867294631592285,0.00026041666666666634,26.71,26.27,0.13726572143969654,26.52322222222233
P06,D9,0.308875,0.279397,0.007849295960421391,0.2940910246710501,193.48,97.02,33.78128127168116,152.62499999999997,11.19,-5.67,0.7201977131646012,0.00027446546052631754,26.27,26.13,0.031692698168122355,26.1773684210529
P06,D10,0.310157,0.289651,0.0026488358893647346,0.30669561363636366,100.25,83.3,5.993368077224268,92.88772727272728,262.52,-84.99,11.725181431968908,-0.1314512310606057,26.29,26.23,0.02010858872414962,26.259545454545542
P06,D11,0.31272,0.30503,0.0015852930345655201,0.308337862903226,101.87,95.3,2.188077862230409,98.09774193548388,3.17,-2.49,0.6866564804996668,-0.0021068548387096733,26.27,26.21,0.015373657054690603,26.244516129032263
P06,D12,0.310157,0.30503,0.0010540823932479015,0.30750780487804913,109.03,103.37,1.2029402495146797,106.81439024390242,3.7,-2.63,0.6383920825455057,-0.000518292682926816,26.23,26.11,0.027783606218461245,26.162439024390302
P06,D13,0.31272,0.306312,0.0010729681419844623,0.3088121666666668,124.08,110.65,3.919913707365696,117.86893939393941,1.82,-2.2,0.5771874125575398,0.00019412878787878333,26.07,25.91,0.04525357114215062,25.98848484848485
P03,D0,2.747688,2.179422,0.13590448102099545,2.585165428160918,155.05,105.81,19.118169799711435,133.1190804597701,16.65,-6.65,0.7588756425868235,0.004836566091954016,25.99,25.81,0.05306723703385131,25.915919540230067
P03,D1,2.824586,2.677198,0.031030968690462412,2.723106438596492,200.82,183.45,5.086981935591337,194.4807017543859,2.02,-1.9,0.5306656801363121,0.005433114035087698,26.05,25.99,0.014176522850795757,26.012631578947428
P03,D2,2.697704,2.511866,0.0396228745697921,2.6099350326086945,171.85,127.05,13.086154179209645,147.52478260869563,2.2,-1.67,0.5192834624481298,0.004026268115942031,26.09,26.01,0.014320259380402059,26.04681159420296
P03,D3,2.918146,2.692578,0.043644322033081426,2.8215477056451546,116.8,93.97,9.06717192877665,105.76572580645158,5.16,-2.63,0.6104825708782632,0.006168094758064561,26.15,26.07,0.015759681038398362,26.108064516129
P03,D4,3.173391,2.910655,0.054779605844830305,2.9962988088235285,136.32,113.0,7.574600759556022,126.48600000000002,2.04,-1.69,0.5825642281138623,0.0026948529411764855,26.17,26.11,0.014736508106678526,26.133058823529367
P03,D5,3.592746,3.065733,0.12380390323705441,3.334285560810811,141.0,130.53,3.043529256601673,134.94558558558563,2.12,-1.71,0.563733354938816,0.00067286036036036,26.17,26.13,0.013494139407337166,26.153333333333244
P03,D6,4.236207,3.629913,0.17985342552836284,3.972001527372261,163.68,92.58,25.518825655755837,133.6335766423358,2.99,-10.26,0.6368520846335961,0.00780679744525543,20.95,20.77,0.04436576271179752,20.838029197080335
P03,D7,4.453566,4.26184,0.0370834387637591,4.359807636956528,172.43,139.48,10.44120059160106,157.32217391304354,1.78,-1.91,0.610740756526558,0.0020937500000000045,21.31,20.91,0.11165733314685355,21.10078260869571
